Place 1 ,Place 2 ,Place 3 ,Place 4 ,Place 5,Place 5
Pantai Pasih Uug,Pantai Angel's Billabong,Pantai Kelingking,Pantai Crystal Bay,,
Pantai Diamond,Pantai Atuh,Bukit Teletubies,,,
Tanjung Benoa ,Pantai Waterblow,Pura Uluwatu,Pantai Pandawa,Pantai Jimbaran,Pantai Jimbaran
Tari Barong dan Keris,Sari Merta,Pura Tirta Empul,Pantai Jimbaran,,
Tari Barong dan Keris,Sari Merta,Objek Wisata Desa Panglipuran,Pantai Jimbaran,,
Tari Barong dan Keris,Pusat Pengrajin Batik Bali ,Objek Wisata Desa Panglipuran,,,
Pura Tanah Lot,Danau Beratan,Joger,,,
Tanjung Benoa ,Pura Uluwatu,Pantai Pandawa,Pantai Jimbaran,,
Tanjung Benoa ,Pura Uluwatu,Pantai Melasti,Pantai Jimbaran,,
Tari Barong dan Keris,Pusat Pengrajin Batik Bali ,Teras Sawah Tegalalang,Objek Wisata Desa Panglipuran,Pantai Sanur,Pantai Sanur
Pura Tanah Lot,Joger,Bali Handara Gate,Danau Beratan Beratan Bedugul,,
Pura Tanah Lot,Joger,Bukit Wanagiri,Danau Beratan Beratan Bedugul,,
Pantai Waterblow,Tanjung Benoa ,Pantai Pandawa,Pura Uluwatu,,
Bali Bird Park,Pantai Kuta,Krisna,,,
Bali Bird Park,Pantai Kuta,Agung Bali,,,
Monkey Forest Ubud,Teras Sawah Tegalalang,Pura Tirta Empul,Desa Budaya Bali,Air Terjun Tegenungan,Air Terjun Tegenungan
Air Terjun Tegenungan,Teras Sawah Tegalalang,Pasar Seni Tradisional Ubud,Pura Puseh Batuan,Wisata Agro Teba Sari Bali,Wisata Agro Teba Sari Bali
Teras Sawah Tegalalang,Pasar Seni Tradisional Ubud,Pura Puseh Batuan,Wisata Agro Teba Sari Bali,Pura Tanah Lot,Pura Tanah Lot
Pura Tanah Lot,Pura Taman Ayun,,,,
Pura Lempuyang,Tirta Gangga,Bukit Cinta,Sidemen,,
Pantai Pasih Uug,Pantai Angel's Billabong,Pantai Crystal Bay,,,
Pura Lempuyang,Tirta Gangga,Air Terjun Tukad Cepung,Teras Sawah Tegalalang,Wisata Agro Alas Harum,Wisata Agro Alas Harum
Klumpu,Pantai Kelingking,Pura Tanah Lot,,,
Klumpu,Pantai Kelingking,Pantai Seminyak,,,
Klumpu,Pantai Kelingking,Pantai Canggu,,,
Klumpu,Pantai Kelingking,Pantai Kuta,,,
Klumpu,Pantai Kelingking,Pura Tanah Lot,,,
Batik Koleksi Sari Amerta,Desa Celuk,Pura Puseh Batuan,Monkey Forest Ubud,Pasar Seni Tradisional Ubud,Pasar Seni Tradisional Ubud
Batik Koleksi Sari Amerta,Desa Celuk,Pura Puseh Batuan,Monkey Forest Ubud,Teras Sawah Tegalalang,Teras Sawah Tegalalang
Gunung Batur,Danau Batur ,Agrowisata Satria,Candi Tebing Gunung Kawi,Air Terjun Tegenungan,Air Terjun Tegenungan
Pura Lempuyang,Pantai Blue Lagoon ,Agrowisata Satria,,,
Pantai Sanur,Pantai Pasih Uug,Pantai Angel's Billabong,Pantai Kelingking,Pantai Crystal Bay,Pantai Crystal Bay
Pantai Nusa Dua,Pantai Waterblow,Garuda Wisnu Kencana,Pantai Melasti,Pantai Dreamland,Pantai Dreamland
Air Terjun Aling-Aling,Bali Handara Gate,Agrowisata Satria,,,
Gunung Batur,Air Panas Natural Batur,,Agrowisata Satria,,
Pantai Sanur,Pelabuhan Toya Pakeh,Pantai Diamond,Pantai Atuh,,
Pura Puseh Batuan,Air Terjun Tegenungan,Agrowisata Satria,Teras Sawah Tegalalang,Kintamani Highland,Kintamani Highland
Gunung Batur,Goa Gajah,Pura Candi Tebing Gunung Kawi Sebatu,Aloha Ubud Swing ,Bali Swing,Bali Swing
Waterbom Bali,Danau Beratan,Jatiluwih Green Land,Pura Tanah Lot,Jimbaran Bay,Jimbaran Bay
Pura Taman Ayun,Pura Uluwatu,Tari Barong dan Keris,,,
Garuda Wisnu Kencana,Pantai Padang Padang,Pantai Pandawa,,,
Pasar Seni Tradisional Ubud,Pantai Sanur,Pantai Kuta,,,
Pantai Canggu,Tanjung Benoa ,Big Garden Corner,,,
Pura Tanah Lot,Jatiluwih Green Land,Danau Beratan,Danau Tamblingan,Bukit Wanagiri,Bukit Wanagiri
Pantai Kelingking,Pantai Crystal Bay,Pantai Pasih Uug,,,
Pantai Pasih Uug,Pantai Kelingking,Pantai Angel's Billabong,Pantai Crystal Bay,,
Danau Beratan,Jatiluwih Green Land,Pura Luhur Batukaru,Pura Tanah Lot,,
Teras Sawah Tegalalang,Air Terjun Tegenungan,Pusat Kesenian Ukir Desa Mas,,Goa Gajah,Goa Gajah
Monkey Forest Ubud,Pasar Seni Tradisional Ubud,Pasar Seni Tradisional Ubud,Istana Puri Saren,,
Pura Kehen,Pura Besakih,Pura Tirta Empul,Pura Candi Tebing Gunung Kawi Sebatu,Goa Gajah,Goa Gajah
Monkey Forest Ubud,Campuhan Ridge Walk,Pura Saraswati,Pura Tirta Empul,,
Teras Sawah Tegalalang,Goa Gajah,Air Terjun Tegenungan,Istana Puri Saren,Pasar Seni Tradisional Ubud,Pasar Seni Tradisional Ubud
Galeri Seni Semar Kuning,,Desa Celuk,Desa Tohpati,,
Monkey Forest Ubud,Teras Sawah Tegalalang,Pura Tirta Empul,Air Terjun Tegenungan,Bali Bird Park,Bali Bird Park
Pantai Waterblow,Garuda Wisnu Kencana,Pantai Padang Padang,Pura Uluwatu,Tari Kecak dan Api,Tari Kecak dan Api
Pantai Jimbaran ,Pura Tanah Lot,Jatiluwih Green Land,Danau Beratann,Bali Handara Gate,Bali Handara Gate
Bukit Wanagiri,Pura Lempuyang,Tirta Gangga,Istana Air Ujung,,
Gunung Batur,Teras Sawah Tegalalang,Bali Bird Park,,,
Monkey Forest Ubud,Wisata Agro Alas Harum,Pura Tirta Empul,,,
Air Terjun Tegenungan,Pura Tanah Lot,Danau Beratann,Jatiluwih Green Land,Handara Iconic Gate,Handara Iconic Gate
Danau Tamblingan,Bukit Wanagiri,Pura Lempuyang,Tirta Gangga,Istana Air Ujung,Istana Air Ujung
Gunung Agung,Pantai Pasir Putih,Pantai Seminyak,Monumen Bajra Sandhi,Pantai Canggu,Pantai Canggu
Pantai Double Six,Pantai Waterblow,Garuda Wisnu Kencana,,,
Pantai Padang Padang,Pura Uluwatu,Tari Kecak dan Api,Pantai Jimbaran,,
